Id,LinearSVM,NaiveBayes,Random Forest,RBF G=0.02,Average,Prediction
0,0,0,0,0,0,0
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,0,1,0.75,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,0,0,0,1,0.25,0
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,1,1,1,1,1,1
11,1,1,1,1,1,1
12,1,1,1,0,0.75,1
13,1,1,1,0,0.75,1
14,1,1,1,1,1,1
15,0,0,0,0,0,0
16,1,1,1,1,1,1
17,0,1,0,0,0.25,0
18,0,0,0,0,0,0
19,1,1,0,0,0.5,1
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,1,1,1,1,1,1
23,1,1,1,1,1,1
24,0,1,0,1,0.5,1
25,1,1,1,1,1,1
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,1,1,1,1,1
31,0,0,0,0,0,0
32,1,1,1,1,1,1
33,1,1,1,1,1,1
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,1,1,1,1,1,1
38,1,0,1,1,0.75,1
39,1,0,1,1,0.75,1
40,1,1,1,1,1,1
41,1,1,1,1,1,1
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,1,1,0,0,0.5,1
45,0,1,0,1,0.5,1
46,1,1,1,1,1,1
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,0,0,0.5,1
52,1,1,1,1,1,1
53,0,0,0,0,0,0
54,1,1,1,0,0.75,1
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,1,1,1,1,1,1
58,0,0,0,0,0,0
59,0,1,0,0,0.25,0
60,1,1,1,1,1,1
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,1,1,1,1,1,1
64,1,1,1,1,1,1
65,0,0,0,0,0,0
66,0,1,0,0,0.25,0
67,1,1,1,1,1,1
68,0,1,0,0,0.25,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,1,1,1,1,1,1
72,1,1,1,0,0.75,1
73,0,0,0,0,0,0
74,0,1,1,0,0.5,1
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,1,1,1,0.75,1
78,1,1,1,1,1,1
79,1,1,1,1,1,1
80,1,1,1,1,1,1
81,1,1,1,1,1,1
82,1,1,1,1,1,1
83,0,0,0,0,0,0
84,1,1,1,1,1,1
85,1,1,0,0,0.5,1
86,0,0,0,0,0,0
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,0,1,0,0,0.25,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
